_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
021251.jpg1,79,110,285,110,b4160ba1-dc84-433d-a193-b80d75ec7c5a,46,female,5.7,0,0.1,020501.jpg1,0.949878454,3.51001E-05,0.00055565,8.16055E-05,3.46576E-06,0.04556326,0.00355304,0.000329451,120,444,117,120
021501.jpg1,86,112,312,112,5ddd9028-74b9-4322-9368-dfaa87c519f4,46,female,17,0,1.7,020751.jpg1,0.67620635,0.002386789,0.004910609,0.011177224,0.001644053,0.296148628,0.003449836,0.004076496,124,182,131,124
022001.jpg1,94,111,310,111,7b67bcca-ef31-4e05-ad51-d24e4396f137,52,female,18.9,0,-1.7,021001.jpg1,0.5887593,0.3274521,0.00553133,0.008914629,0.002664679,0.015051724,0.01388019,0.037746068,112,250,132,112
022251.jpg1,101,113,282,113,21d48936-176f-4a6a-9b50-fe7fe4037077,67,female,-18.1,0,4.9,021251.jpg1,0.9269755,0.000507286,0.000752377,0.04216282,0.000181738,0.00874397,0.020314487,0.000361846,110,284,78,110
022501.jpg1,125,126,247,126,f4a74438-2ce6-4353-b550-137e5a92d62a,51,female,-30.8,0,1.7,021501.jpg1,0.9443369,0.001399356,0.00070611,0.033207167,0.000350136,0.004963485,0.014746837,0.000290032,112,313,86,112
022751.jpg1,125,128,250,128,ae250998-16c7-47a6-b848-a1d884e67d96,46,female,-33.7,0,-0.7,022001.jpg1,0.003639646,0.000202921,1.61E-08,0.996124744,2.18E-08,6.77E-08,3.13057E-05,1.26322E-06,113,309,93,113
023001.jpg1,113,131,455,131,08f8e302-15d9-445d-bde9-6aba28714361,76,female,-16.3,0,-8.5,022251.jpg1,0.623920441,0.001887016,0.000801586,0.334454238,0.001484688,0.014930362,0.020710023,0.001811678,114,282,100,114
023251.jpg1,123,130,248,130,88bc467b-09cc-4232-b45c-80ba0eb738f5,58,female,-21.1,0,4.7,022501.jpg1,0.74299407,7.68505E-05,3.36422E-05,0.195677742,2.12205E-05,0.058151413,0.002753216,0.000291831,128,245,124,128
023501.jpg1,107,136,412,136,8d4b9c36-a47c-4e32-b53b-d096ab0cc3b6,38,female,15.9,0,-18.7,022751.jpg1,0.6714914,0.225498334,0.005804668,0.035630308,0.003065109,0.03897856,0.009346115,0.010185489,129,250,123,129
023501.jpg2,107,132,114,132,1e3142ee-f94b-4724-9877-01162774f250,90,male,12.7,0,-6.1,023001.jpg1,0.509863853,0.01568445,0.002741239,0.402089417,0.002822279,0.030524567,0.02792735,0.008346871,134,453,112,134
023751.jpg1,113,132,231,132,517bf3d8-e108-4f43-ad0b-a7b41fed3f4c,50,female,-24.6,0,1,023251.jpg1,0.8272486,0.002930702,0.000901506,0.006798268,0.000543474,0.1509759,0.004403068,0.006198518,130,249,122,130
024001.jpg1,115,136,290,136,f678bc2e-b475-4e5a-9b93-e6bce65e537b,58,female,0,0,4.1,023501.jpg1,0.617119133,0.002563904,0.000362711,0.314045638,0.000252686,0.028046267,0.03635727,0.001252383,140,111,104,140
024251.jpg1,100,132,237,132,962489f8-1e73-43e1-b594-832032d2b324,50,female,-13.5,0,6.4,023501.jpg2,0.712467432,0.042749655,0.003309597,0.180316418,0.006542282,0.013035634,0.035510812,0.006068142,136,413,107,136
024501.jpg1,101,142,101,142,d971edcf-149c-4d26-b225-74b12bedba25,82,male,4.7,0,-6.6,023751.jpg1,0.8491605,0.09536853,0.00023268,0.013850938,0.000142206,0.021084435,0.018849889,0.001310861,135,230,113,135
