_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
032251.jpg1,0.9635445,0.000246445852,0.0000768146638,0.0358082131,0.000008500367,0.0000924660344,0.000211463979,0.0000116226574,141,121,71,141
032251.jpg2,0.208912641,0.0006636871,0.00001026339,0.785375237,0.0000232294879,0.000353265,0.00463050231,0.00003114538,120,442,90,120
032501.jpg1,0.5732454,0.09028497,0.00029269,0.29467538,0.002729924,0.0243103243,0.009107568,0.005353757,121,262,91,121
032751.jpg1,0.783803642,0.003985069,0.00245225639,0.185879976,0.002843943,0.00401457865,0.0158271082,0.0011934191,130,108,86,130
032751.jpg2,0.351620346,0.620062,0.005289936,0.0002790352,0.00158231112,0.0152536612,0.0019145601,0.003998144,120,334,111,120
033001.jpg1,0.845222652,0.0007628733,0.00472676335,0.0104828635,0.000100014346,0.129791528,0.00638166955,0.00253161322,127,77,130,127
033001.jpg2,0.160058647,0.0005530909,0.000176280155,0.832238436,0.0000199483438,0.000146547784,0.00593080372,0.000876253063,121,405,100,121
033251.jpg1,0.06760159,0.0007042612,0.000005835129,0.9302452,0.00004215798,0.000225221651,0.0009608169,0.00021490964,119,444,85,119
033501.jpg1,0.990922034,0.00426718965,0.00244095712,0.00109493965,0.000303293229,0.000646003929,0.000279247528,0.00004632118,153,55,75,153
033501.jpg2,0.000346381363,0.00000628944827,3.926819e-8,0.9996259,1.84172819e-7,0.0000110045648,0.000006621274,0.00000355977613,121,420,100,121
033751.jpg1,0.980552,0.008955673,0.000461542048,0.009300747,0.0000626061737,0.000208435245,0.000360921549,0.0000980767945,150,151,67,150
033751.jpg2,0.6140698,0.005691457,0.0022734357,0.269574821,0.00244543166,0.0283510461,0.0484856963,0.0291083045,131,367,95,131
034001.jpg1,0.9577509,0.000172169224,0.000143519239,0.0405891463,0.00006221099,0.0003813437,0.0008592714,0.0000414282549,152,95,90,152
034001.jpg2,0.780932963,0.0533763431,0.00292474171,0.00330198882,0.00345674716,0.130309865,0.0216255113,0.00407185126,128,380,103,128
034251.jpg1,0.9132122,0.000485414872,0.000385431515,0.08348904,0.000157386574,0.000616228033,0.001552285,0.000102027552,150,104,90,150
034251.jpg2,0.535053253,0.001793327,0.0007961378,0.4505514,0.000107350039,0.00143620849,0.00857922,0.00168312993,125,368,123,125
034501.jpg1,0.9960448,0.000576746068,0.000247339165,0.002531758,0.00000597772168,0.0000258215277,0.0005604139,0.000007118597,152,119,93,152
034501.jpg2,0.8563273,0.006335363,0.005873032,0.00683953334,0.00111403,0.101674169,0.0106017562,0.0112348245,129,355,117,129
034751.jpg1,0.8298806,0.0116203809,0.114389427,0.014098715,0.000313498429,0.00110115972,0.00870362,0.0198925789,153,95,95,153
034751.jpg2,0.8498957,0.0000183969587,0.0000307836162,0.007669239,0.0000137760571,0.106461056,0.035454426,0.0004566278,123,394,126,123
035001.jpg1,0.9515843,0.009153801,0.00230347738,0.0062988135,0.00103838928,0.0212186761,0.0075154705,0.0008871089,153,209,94,153
035251.jpg1,0.529054463,0.00140326854,0.3865252,0.00705265626,0.000196983776,0.00119882857,0.01902384,0.0555447452,153,211,103,153
035501.jpg1,0.9773611,0.00339105725,0.000467143,0.008614478,0.0009968749,0.00778715,0.001241367,0.000140844844,155,82,88,155
035501.jpg2,0.143746451,0.0000130727676,8.528996e-7,0.855567753,6.39415134e-7,0.0004865312,0.000182497592,0.0000022253173,110,363,113,110
035751.jpg1,0.6908246,0.0177101977,0.1969328,0.0128964661,0.001833028,0.0105530368,0.0179172512,0.0513325855,157,102,106,157
035751.jpg2,0.4737622,0.000277293031,0.000008099042,0.524399459,0.000008082221,0.00113619131,0.000400222256,0.000008401744,104,362,122,104
036001.jpg1,0.864961863,0.0004664577,0.0152194593,0.000391269132,0.0008224478,0.115298443,0.0014531702,0.00138687855,105,259,180,105
036251.jpg1,0.864587367,0.09039846,0.00736381952,0.0018820524,0.009939891,0.0173054468,0.004200566,0.004322374,152,178,80,152
036751.jpg1,0.008258326,6.466561e-7,8.418323e-9,0.9881086,9.19279444e-8,0.00357119483,0.0000397343356,0.00002139863,143,166,91,143
037001.jpg1,0.9092204,0.00322213979,0.00330160023,0.0247829817,0.00117899815,0.03769185,0.0071508456,0.0134511888,153,188,105,153
037251.jpg1,0.962932944,0.004064247,0.004242697,0.005557535,0.000323999877,0.0124125527,0.009289155,0.00117689325,152,171,113,152
037501.jpg1,0.863012731,0.00394158158,0.022724,0.0531967431,0.000403773069,0.0228482559,0.0118046608,0.0220682751,154,42,102,154
037501.jpg2,0.188658983,0.00140914565,0.00000383611541,0.809131444,0.00000372329259,0.000279186643,0.0005089143,0.00000477091862,116,429,154,116
037751.jpg1,0.776956856,0.0147691,0.06393483,0.00210662954,0.0008404989,0.0252351984,0.0482932366,0.06786364,152,195,110,152
038001.jpg1,0.90961355,0.00191956526,0.008274687,0.0154208383,0.000826068048,0.0232941657,0.0268261526,0.0138249956,151,232,106,151
038251.jpg1,0.3240341,0.07441186,0.586902738,0.0034436977,0.00321869529,0.00044007,0.000642577361,0.006906243,152,207,102,152
038501.jpg1,0.7621693,0.00379244681,0.06450564,0.07287479,0.00066531176,0.00534036849,0.0537412651,0.0369108655,150,220,104,150
038751.jpg1,0.5104542,0.017733505,0.416482329,0.00268653571,0.00132549484,0.00696688145,0.023653863,0.0206972044,152,215,133,152
039001.jpg1,0.635012269,0.0352294222,0.308204919,0.00102934,0.000117127231,0.000236519583,0.00276306039,0.0174073428,149,207,100,149
039251.jpg1,0.923377454,0.0000182383,0.000223609648,0.0011426534,0.00005499181,0.0705409944,0.00453935,0.000102727645,96,471,141,96
