_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
020501.jpg1,020501.jpg,0.949878454,3.51E-05,0.00055565,8.16E-05,3.47E-06,0.04556326,0.00355304,0.000329451,120,444,117,120,020501.jpg9,female
020751.jpg1,020751.jpg,0.67620635,0.002386789,0.004910609,0.011177224,0.001644053,0.296148628,0.003449836,0.004076496,124,182,131,124,020751.jpg4,male
021001.jpg1,021001.jpg,0.5887593,0.3274521,0.00553133,0.008914629,0.002664679,0.015051724,0.01388019,0.037746068,112,250,132,112,021001.jpg5,female
021251.jpg1,021251.jpg,0.9269755,0.000507286,0.000752377,0.04216282,0.000181738,0.00874397,0.020314487,0.000361846,110,284,78,110,021251.jpg6,female
021501.jpg1,021501.jpg,0.9443369,0.001399356,0.00070611,0.033207167,0.000350136,0.004963485,0.014746837,0.000290032,112,313,86,112,021501.jpg6,female
022001.jpg1,022001.jpg,0.003639646,0.000202921,1.61E-08,0.996124744,2.18E-08,6.77E-08,3.13E-05,1.26E-06,113,309,93,113,022001.jpg6,female
022251.jpg1,022251.jpg,0.623920441,0.001887016,0.000801586,0.334454238,0.001484688,0.014930362,0.020710023,0.001811678,114,282,100,114,022251.jpg6,female
022501.jpg1,022501.jpg,0.74299407,7.69E-05,3.36E-05,0.195677742,2.12E-05,0.058151413,0.002753216,0.000291831,128,245,124,128,022501.jpg5,female
022751.jpg1,022751.jpg,0.6714914,0.225498334,0.005804668,0.035630308,0.003065109,0.03897856,0.009346115,0.010185489,129,250,123,129,022751.jpg5,female
023001.jpg1,023001.jpg,0.509863853,0.01568445,0.002741239,0.402089417,0.002822279,0.030524567,0.02792735,0.008346871,134,453,112,134,023001.jpg9,female
023251.jpg1,023251.jpg,0.8272486,0.002930702,0.000901506,0.006798268,0.000543474,0.1509759,0.004403068,0.006198518,130,249,122,130,023251.jpg5,female
023501.jpg1,023501.jpg,0.617119133,0.002563904,0.000362711,0.314045638,0.000252686,0.028046267,0.03635727,0.001252383,140,111,104,140,023501.jpg2,male
023501.jpg2,023501.jpg,0.712467432,0.042749655,0.003309597,0.180316418,0.006542282,0.013035634,0.035510812,0.006068142,136,413,107,136,023501.jpg8,female
023751.jpg1,023751.jpg,0.8491605,0.09536853,0.00023268,0.013850938,0.000142206,0.021084435,0.018849889,0.001310861,135,230,113,135,023751.jpg5,female
024001.jpg1,024001.jpg,0.4898499,0.009377281,0.003486444,0.41428858,0.001290694,0.018171454,0.028765554,0.034770094,133,292,117,133,024001.jpg6,female
024251.jpg1,024251.jpg,0.843362749,0.00031549,0.031296767,0.002994773,8.60E-05,0.04443974,0.07285709,0.004647322,133,235,99,133,024251.jpg5,female
024501.jpg1,024501.jpg,0.9561874,0.028376622,0.00491641,0.002179899,0.000632573,0.00202525,0.005029608,0.0006522,141,101,101,141,024501.jpg2,male
024501.jpg2,024501.jpg,0.435420126,0.056264292,0.000333056,0.4950061,0.001198268,0.007307383,0.002548992,0.001921756,135,397,93,135,024501.jpg8,female
024751.jpg1,024751.jpg,0.491339028,1.66E-05,3.71E-05,0.44894895,4.26E-06,0.000733954,0.05888311,3.71E-05,131,369,109,131,024751.jpg7,female
024751.jpg2,024751.jpg,0.487824857,0.000107752,0.000454948,0.466331273,5.27E-06,0.004087201,0.040545806,0.000642907,126,103,126,126,024751.jpg2,male
025001.jpg1,025001.jpg,0.9411388,0.010649812,0.019956026,0.003291135,0.000477364,0.010602214,0.006669594,0.007215066,145,183,109,145,025001.jpg4,male
025251.jpg1,025251.jpg,0.9249818,0.029901378,0.009491321,0.004516616,0.004591651,0.021667292,0.003533666,0.001316292,138,224,82,138,025251.jpg4,male
025501.jpg1,025501.jpg,0.7377609,0.099369645,0.0941997,0.00488115,0.001053156,0.013691952,0.017480852,0.03156264,141,198,114,141,025501.jpg4,male
025751.jpg1,025751.jpg,0.620804548,0.05347815,0.271444619,0.006029646,0.000464956,0.001276858,0.014217352,0.03228387,142,178,105,142,025751.jpg4,male
026001.jpg1,026001.jpg,0.915722966,0.005953934,0.026787607,0.017499369,0.001272391,0.004975713,0.010910598,0.016877437,137,202,63,137,026001.jpg4,male
026251.jpg1,026251.jpg,0.859340549,0.043462604,0.06699093,0.006297787,0.000227587,0.001374165,0.010217425,0.012088989,141,191,110,141,026251.jpg4,male
026501.jpg1,026501.jpg,0.7066351,0.010026953,0.18632479,0.006817278,0.000309844,0.005005873,0.023078285,0.061801877,141,187,117,141,026501.jpg4,male
026751.jpg1,026751.jpg,0.2136247,0.09579635,0.07582271,0.509641767,0.005284499,0.05553194,0.001554522,0.042743523,144,186,94,144,026751.jpg4,male
027001.jpg1,027001.jpg,0.498292059,0.2956512,0.123715259,0.005692432,0.003467173,0.008347679,0.01398916,0.050845034,142,198,88,142,027001.jpg4,male
027251.jpg1,027251.jpg,0.8288211,0.009860217,0.07195533,0.012738438,0.005193878,0.032199573,0.013672685,0.025558779,142,227,96,142,027251.jpg5,male
027501.jpg1,027501.jpg,0.828852654,0.133697972,0.025532357,0.001657351,0.000791025,0.00172745,0.001641577,0.006099581,142,209,105,142,027501.jpg4,male
027751.jpg1,027751.jpg,0.8605412,0.101162262,0.019556457,0.003340719,0.000194516,0.001647445,0.006183167,0.007374215,144,213,116,144,027751.jpg4,male
028251.jpg1,028251.jpg,0.89727056,1.31E-05,0.000319488,0.000102305,1.73E-06,0.10219723,8.50E-05,1.06E-05,121,243,142,121,028251.jpg5,male
