_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,data
123751.jpg2,111,104,392,104,068f1879-ceef-4da5-a5f6-7b2b5d85f797,46,female,-33.4,0,0.6,
124001.jpg1,85,125,93,125,e4a8b031-be0f-4597-9f7c-6a41cafc44f9,71,male,27.1,0,-8.2,
124001.jpg2,104,104,416,104,2be6dca6-82c7-4435-85a9-c2c1e8c0315f,48,female,-25.7,0,-1.2,
124251.jpg1,94,130,129,130,ab325351-52a1-4a23-9634-808988c2e1ba,82,male,-4.1,0,-4.2,
124501.jpg1,90,129,198,129,ac03b32f-f2a2-4223-9311-778e71072b11,80,male,8.3,0,-5.7,
124751.jpg1,87,126,196,126,5c289be1-08ec-41d7-8ae3-eb523b247a2d,82,male,20,0,-7.3,
125001.jpg1,66,67,141,67,dc8ac637-9666-4c1f-b3cc-5e334269b57d,66,male,-39.6,0,-1.3,
125251.jpg1,95,129,101,129,3cd55a0b-da56-41ba-aaab-dbd61a1ab43c,90,male,-3.6,0,2.1,
125251.jpg2,105,93,399,93,33e95da5-278e-422b-92d8-58919314df16,56,male,-54.9,0,8.8,
125501.jpg1,96,118,260,118,1055863c-cabf-4f43-b66a-ec6eb11a0de3,44,female,-12.8,0,2,
125751.jpg1,102,112,280,112,87eae9dc-6c7c-4b43-b9d5-b1ad089d1ad1,50,female,-11.9,0,5.9,
126001.jpg1,72,127,132,127,d41a7fad-f535-498a-9496-fbe5fbd61433,72,male,5.3,0,-0.4,
126001.jpg2,109,115,419,115,9a26c4be-42c3-4883-b505-1e0d363af03b,43,female,-17.2,0,6.7,
126251.jpg1,96,118,198,118,9c1c5da5-bf32-4251-99e1-4a615635932a,68,male,44.3,0,-6.6,
126251.jpg2,91,113,448,113,414f2832-0b7e-48fa-876f-f91d0e7f38c6,48,female,-5.9,0,3,
126501.jpg1,57,87,67,87,fe98e988-04f5-4cdb-80b0-725ab029cb78,63,male,-41.7,0,9.5,
126751.jpg1,66,127,108,127,ce1cbc75-d8ff-4ec9-a94d-cf689835a9e6,81,male,17.4,0,-3.4,
126751.jpg2,106,107,411,107,d6aff977-65e2-4b2c-9063-accc0db0f145,33,female,-51.1,0,7.9,
127001.jpg1,102,120,404,120,d741abc7-c9a3-4f95-9c98-6a6b723780eb,56,female,-3.6,0,-7.6,
127001.jpg2,119,116,65,116,45b46be8-2a79-4c07-8fa1-2f5daf09693a,78,male,12.6,0,-3.6,
127251.jpg1,100,125,109,125,ce3a8893-5d72-46d5-92f8-d45647d36017,84,male,8.2,0,1.2,
127251.jpg2,106,121,372,121,787ace6e-df63-4bad-a715-8e990f760c8b,55,female,-24.6,0,3.4,
127501.jpg1,60,127,125,127,6d33d926-b22d-4fa3-a2e2-dbefb195c2ef,72,male,6.8,0,1.6,
127501.jpg2,84,118,446,118,57ef4fae-03b2-40d3-b361-e29a5e0b89c7,46,female,-9.9,0,7.8,
127751.jpg1,89,141,264,141,a93e4d03-1dae-488c-97b5-d0c210bb48d1,37,male,11,0,3.1,
128251.jpg1,70,139,258,139,bb248228-3896-4b89-afb5-c080bafa4890,38,male,2.3,0,4.3,
128501.jpg1,82,129,154,129,35d2f0c9-deba-4d90-a06d-270b2fbb2cd4,74,male,-3.3,0,-6.6,
128751.jpg1,103,127,175,127,7bdf48ef-67d9-4830-b911-f9238291b976,82,male,10.2,0,-8.7,
129001.jpg1,120,129,159,129,065b2922-9331-40ef-8d15-4d5b96651b4d,81,male,6.9,0,-10,
129251.jpg1,93,125,250,125,ace39470-016c-44eb-b857-26fd4f746356,70,male,22.8,0,-6.8,
129501.jpg1,87,128,156,128,6139683c-e150-4067-8990-cddbe4fdf9f0,84,male,-3.3,0,-5.2,
129751.jpg1,109,129,68,129,ccdee4aa-698d-49f8-b90c-f3bfa6614d05,81,male,8.3,0,-7.7,
129751.jpg2,94,108,377,108,2637c3b6-567f-41c7-a59e-edd98b30ae02,40,female,-37.2,0,5.2,
130001.jpg1,93,125,157,125,79ebee5a-6528-4272-840b-b88f3f7c4d5a,81,male,16.5,0,-16.9,
130501.jpg1,74,125,185,125,e92aedac-71b0-4649-a0c8-640b1a9cfdb4,80,male,17.5,0,-5.2,
130751.jpg1,96,130,166,130,5c47f5f9-3a21-4e0f-a62f-72d996d31013,84,male,-3.2,0,-4.9,
131001.jpg1,79,129,190,129,a4d760f2-0f62-47e6-bdca-113bdeab5ae3,82,male,14.2,0,-3.6,
131251.jpg1,79,121,300,121,59ac7e87-327b-41a9-9076-f3956f94a057,64,female,2.1,0,-10.8,
131501.jpg1,91,122,302,122,d178675b-f02e-4040-881a-d3f3bb2f8559,60,female,-3.3,0,-2,
